ID,RegioS,Code_1,Naam_2,SorteringNaam_3,Code_4,Naam_5,Code_6,Naam_7,Code_8,Naam_9,Code_10,Naam_11,Code_12,Naam_13,Code_14,Naam_15,Code_16,Naam_17,Code_18,Naam_19,Code_20,Naam_21,Code_22,Naam_23,Code_24,Naam_25,Code_26,Naam_27,Code_28,Naam_29,Code_30,Naam_31,Code_32,Naam_33,Code_34,Naam_35,Code_36,Naam_37,Code_38,Naam_39,Code_40,Naam_41,Code_42,Naam_43,Code_44,Naam_45,Code_46,Omschrijving_47,Code_48,Omschrijving_49,Inwonertal_50,Omgevingsadressendichtheid_51
325,Westerveld,GM1701    ,Westerveld                                        ,Westerveld                                        ,AM36      ,Regio Zwolle                                      ,AR05      ,Noord-Nederland                                   ,CR09      ,Zuidwest-Drenthe                                  ,CS090     ,Zuidwest-Drenthe                                  ,CP0900    ,Zuidwest-Drenthe                                  ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2203    ,Zuidwestelijk Weidegebied in Drenthe              ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC09      ,Zuid-West Drenthe                                 ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,3         ,10 000 tot 20 000 inwoners                        ,5         ,Niet stedelijk           ,19460,212
326,Westervoort,GM0293    ,Westervoort                                       ,Westervoort                                       ,AM07      ,Midden-Gelderland                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG1911    ,Veiligheids- en Gezondheidsregio Gelderland-Midden,JZ28      ,Arnhem                                            ,KK43      ,Oost                                              ,LB2503    ,Zuidelijk Gelderland                              ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0309    ,Midden-Gelderland                                 ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT05      ,Gelderland,VR07      ,Gelderland-Midden                                 ,ZK04      ,Arnhem                                            ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,14973,1155
327,Westerwolde,GM1950    ,Westerwolde                                       ,Westerwolde                                       ,AM01      ,Groningen                                         ,AR05      ,Noord-Nederland                                   ,CR01      ,Oost-Groningen                                    ,CS010     ,Oost-Groningen                                    ,CP0100    ,Oost-Groningen                                    ,GG0111    ,GGD Groningen                                     ,JZ01      ,Groningen                                         ,KK42      ,Noord                                             ,LB2004    ,Westerwolde en Groninger Veenkoloniën             ,LG02      ,Veenkoloniën en Oldambt                           ,LD01      ,Noord-Nederland                                   ,PV20      ,Groningen                                         ,.         ,.                                                 ,ES01      ,Groningen                                         ,MC01      ,Oost-Groningen                                    ,RA0101    ,Groningen                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT08      ,Groningen ,VR01      ,Groningen                                         ,ZK09      ,Groningen                                         ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,25796,287
328,Westland,GM1783    ,Westland                                          ,Westland                                          ,AM21      ,Haaglanden                                        ,AR07      ,Den Haag                                          ,CR27      ,Delft en Westland                                 ,CS270     ,Delft en Westland                                 ,CP2700    ,Delft en Westland                                 ,GG7014    ,GGD Haaglanden                                    ,JZ24      ,Haaglanden                                        ,KK45      ,Zuidwest                                          ,LB2809    ,Westland en Zuidhollandse Droogmakerijen          ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC28      ,Haaglanden/Westland                               ,RA1020    ,Haaglanden en Nieuwe Waterweg Noord               ,RT13      ,Gerechtshof Den Haag                              ,TR02      ,Noordzeebadplaatsen                               ,VT09      ,Haaglanden,VR15      ,Haaglanden                                        ,ZK33      ,Westland Schieland Delfland                       ,6         ,100 000 tot 150 000 inwoners                      ,3         ,Matig stedelijk          ,110357,1428
329,Weststellingwerf,GM0098    ,Weststellingwerf                                  ,Weststellingwerf                                  ,AM02      ,Friesland                                         ,AR05      ,Noord-Nederland                                   ,CR06      ,Zuidoost-Friesland                                ,CS060     ,Zuidoost-Friesland                                ,CP0600    ,Zuidoost-Friesland                                ,GG7206    ,GGD Fryslân                                       ,JZ02      ,Friesland (Fryslân)                               ,KK42      ,Noord                                             ,LB2103    ,De Wouden                                         ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV21      ,Friesland                                         ,.         ,.                                                 ,ES02      ,Friesland                                         ,MC06      ,Friesland-Oost                                    ,RA0103    ,Friesland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT04      ,Friesland ,VR02      ,Fryslân                                           ,ZK08      ,Friesland                                         ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,25916,681
330,Westvoorne,GM0614    ,Westvoorne                                        ,Westvoorne                                        ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2801    ,Voorne-Putten en Hoeksche Waard                   ,LG11      ,Zuidwestelijk Akkerbouwgebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR02      ,Noordzeebadplaatsen                               ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK29      ,Zuid-Hollandse Eilanden                           ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,14728,614
331,Wierden,GM0189    ,Wierden                                           ,Wierden                                           ,AM05      ,Twente                                            ,AR06      ,Overijssel                                        ,CR12      ,Twente                                            ,CS120     ,Twente                                            ,CP1200    ,Twente                                            ,GG1106    ,GGD Regio Twente                                  ,JZ14      ,Twente                                            ,KK43      ,Oost                                              ,LB2303    ,Twente                                            ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV23      ,Overijssel                                        ,.         ,.                                                 ,ES04      ,Twente                                            ,MC12      ,Twente                                            ,RA0205    ,Twente                                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR11      ,"Twente, Salland en Vechtstreek                    ",VT19      ,Twente    ,VR05      ,Twente                                            ,ZK22      ,Twente                                            ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,24440,709
332,Wijchen,GM0296    ,Wijchen                                           ,Wijchen                                           ,AM08      ,Rijk van Nijmegen                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG2014    ,GGD Gelderland-Zuid                               ,JZ32      ,Nijmegen                                          ,KK43      ,Oost                                              ,LB2503    ,Zuidelijk Gelderland                              ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK16      ,Nijmegen                                          ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,41124,1232
333,Wijdemeren,GM1696    ,Wijdemeren                                        ,Wijdemeren                                        ,AM12      ,Gooi en Vechtstreek                               ,AR04      ,Midden-Nederland                                  ,CR24      ,Het Gooi en Vechtstreek                           ,CS240     ,Het Gooi en Vechtstreek                           ,CP2400    ,Het Gooi en Vechtstreek                           ,GG3606    ,GGD Gooi en Vechtstreek                           ,JZ16      ,Gooi en Vechtstreek                               ,KK41      ,Noordwest                                         ,LB2707    ,'t Gein en Gooiland                               ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC20      ,Gooi en Vechtstreek                               ,RA0511    ,Gooi- en Vechtstreek                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR06      ,Hollands-Utrechtse meren                          ,VT20      ,Utrecht   ,VR14      ,Gooi en Vechtstreek                               ,ZK21      ,'t Gooi                                           ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,24360,592
334,Wijk bij Duurstede,GM0352    ,Wijk bij Duurstede                                ,Wijk bij Duurstede                                ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1704    ,Zuidoost-Utrecht                                  ,GG2514    ,GGD Regio Utrecht                                 ,JZ23      ,Zuidoost Utrecht                                  ,KK41      ,Noordwest                                         ,LB2601    ,Kromme Rijn-streek en Heuvelrug                   ,LG10      ,Rivierengebied                                    ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,23910,1128
335,Winterswijk,GM0294    ,Winterswijk                                       ,Winterswijk                                       ,AM09      ,Achterhoek                                        ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ25      ,Achterhoek                                        ,KK43      ,Oost                                              ,LB2508    ,Achterhoek                                        ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES07      ,Achterhoek                                        ,MC13      ,Achterhoek                                        ,RA0207    ,Achterhoek                                        ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK04      ,Arnhem                                            ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,28865,1201
336,Woensdrecht,GM0873    ,Woensdrecht                                       ,Woensdrecht                                       ,AM25      ,West-Brabant                                      ,AR11      ,Zeeland-West-Brabant                              ,CR33      ,West-Noord-Brabant                                ,CS330     ,West-Noord-Brabant                                ,CP3300    ,West-Noord-Brabant                                ,GG5206    ,GGD West-Brabant                                  ,JZ36      ,West Brabant West                                 ,KK44      ,Zuid                                              ,LB3005    ,Westelijke Zandgronden                            ,LG12      ,Zuidwest-Brabant                                  ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,21883,664
337,Woerden,GM0632    ,Woerden                                           ,Woerden                                           ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1701    ,Utrecht-West                                      ,GG2514    ,GGD Regio Utrecht                                 ,JZ19      ,Utrecht West                                      ,KK41      ,Noordwest                                         ,LB2602    ,Westelijk Weidegebied in Utrecht                  ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,5         ,50 000 tot 100 000 inwoners                       ,3         ,Matig stedelijk          ,52294,1374
338,De Wolden,GM1690    ,De Wolden                                         ,Wolden De                                         ,AM03      ,Drenthe                                           ,AR05      ,Noord-Nederland                                   ,CR09      ,Zuidwest-Drenthe                                  ,CS090     ,Zuidwest-Drenthe                                  ,CP0900    ,Zuidwest-Drenthe                                  ,GG0706    ,GGD Drenthe                                       ,JZ04      ,Drenthe                                           ,KK42      ,Noord                                             ,LB2203    ,Zuidwestelijk Weidegebied in Drenthe              ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV22      ,Drenthe                                           ,.         ,.                                                 ,ES03      ,Drenthe                                           ,MC09      ,Zuid-West Drenthe                                 ,RA0102    ,Drenthe                                           ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR12      ,"Groningse, Friese en Drentse Zandgronden          ",VT02      ,Drenthe   ,VR03      ,Drenthe                                           ,ZK06      ,Drenthe                                           ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,24327,308
339,Wormerland,GM0880    ,Wormerland                                        ,Wormerland                                        ,AM17      ,Zaanstreek/Waterland                              ,AR02      ,Noord-Holland                                     ,CR22      ,Zaanstreek                                        ,CS220     ,Zaanstreek                                        ,CP2200    ,Zaanstreek                                        ,GG7306    ,GGD Zaanstreek/Waterland                          ,JZ09      ,Zaanstreek-Waterland                              ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0615    ,Zaanstreek en Waterland                           ,RT11      ,Gerechtshof Amsterdam                             ,TR06      ,Hollands-Utrechtse meren                          ,VT22      ,Zaanstreek,VR11      ,Zaanstreek-Waterland                              ,ZK26      ,Zaanstreek/Waterland                              ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,16299,1464
340,Woudenberg,GM0351    ,Woudenberg                                        ,Woudenberg                                        ,AM14      ,Amersfoort                                        ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1702    ,Stadsgewest Amersfoort                            ,GG2514    ,GGD Regio Utrecht                                 ,JZ20      ,Eemland                                           ,KK41      ,Noordwest                                         ,LB2605    ,Zandgebied in Utrecht                             ,LG05      ,Centraal Veehouderijgebied                        ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES13      ,Amersfoort                                        ,MC16      ,Eem en Vallei                                     ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,13362,958
341,Zaanstad,GM0479    ,Zaanstad                                          ,Zaanstad                                          ,AM17      ,Zaanstreek/Waterland                              ,AR02      ,Noord-Holland                                     ,CR22      ,Zaanstreek                                        ,CS220     ,Zaanstreek                                        ,CP2200    ,Zaanstreek                                        ,GG7306    ,GGD Zaanstreek/Waterland                          ,JZ09      ,Zaanstreek-Waterland                              ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0615    ,Zaanstreek en Waterland                           ,RT11      ,Gerechtshof Amsterdam                             ,TR17      ,Overig Nederland                                  ,VT22      ,Zaanstreek,VR11      ,Zaanstreek-Waterland                              ,ZK26      ,Zaanstreek/Waterland                              ,7         ,150 000 tot 250 000 inwoners                      ,2         ,Sterk stedelijk          ,156711,2048
342,Zaltbommel,GM0297    ,Zaltbommel                                        ,Zaltbommel                                        ,AM10      ,Rivierenland                                      ,AR03      ,Gelderland                                        ,CR16      ,Zuidwest-Gelderland                               ,CS160     ,Zuidwest-Gelderland                               ,CP1600    ,Zuidwest-Gelderland                               ,GG2014    ,GGD Gelderland-Zuid                               ,JZ30      ,Rivierenland                                      ,KK43      ,Oost                                              ,LB2506    ,Bommelerwaard                                     ,LG10      ,Rivierengebied                                    ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES11      ,Rivierenland (Fruitdelta)                         ,MC15      ,Rivierenland                                      ,RA0308    ,Zuid-West Gelderland                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT06      ,Gelderland,VR08      ,Gelderland-Zuid                                   ,ZK19      ,Noordoost-Brabant                                 ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,28901,684
343,Zandvoort,GM0473    ,Zandvoort                                         ,Zandvoort                                         ,AM37      ,Zuid-Kennemerland en IJmond                       ,AR02      ,Noord-Holland                                     ,CR21      ,Agglomeratie Haarlem                              ,CS210     ,Agglomeratie Haarlem                              ,CP2100    ,Agglomeratie Haarlem                              ,GG3109    ,GGD Kennemerland                                  ,JZ11      ,Zuid Kennemerland                                 ,KK41      ,Noordwest                                         ,LB2708    ,Kennemerland                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC25      ,West-Kennemerland                                 ,RA0717    ,"Amstelland, Kennemerland en Meerlanden            ",RT11      ,Gerechtshof Amsterdam                             ,TR02      ,Noordzeebadplaatsen                               ,VT12      ,Kennemerla,VR12      ,Kennemerland                                      ,ZK11      ,Kennemerland                                      ,3         ,10 000 tot 20 000 inwoners                        ,2         ,Sterk stedelijk          ,17116,1815
344,Zeewolde,GM0050    ,Zeewolde                                          ,Zeewolde                                          ,AM06      ,Stedendriehoek en Noordwest Veluwe                ,AR04      ,Midden-Nederland                                  ,CR40      ,Flevoland                                         ,CS400     ,Flevoland                                         ,CP4002    ,Flevoland-Midden                                  ,GG2209    ,GGD Flevoland                                     ,JZ08      ,Flevoland                                         ,KK41      ,Noordwest                                         ,LB2402    ,Zuidelijke IJsselmeerpolders                      ,LG06      ,IJsselmeerpolders                                 ,LD02      ,Oost-Nederland                                    ,PV24      ,Flevoland                                         ,.         ,.                                                 ,ES06      ,Flevoland                                         ,MC17      ,Noordwest-Veluwe                                  ,RA0410    ,Flevoland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR03      ,IJsselmeerkust                                    ,VT03      ,Flevoland ,VR25      ,Flevoland                                         ,ZK07      ,Flevoland                                         ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,22656,810
345,Zeist,GM0355    ,Zeist                                             ,Zeist                                             ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1703    ,Stadsgewest Utrecht                               ,GG2514    ,GGD Regio Utrecht                                 ,JZ23      ,Zuidoost Utrecht                                  ,KK41      ,Noordwest                                         ,LB2601    ,Kromme Rijn-streek en Heuvelrug                   ,LG10      ,Rivierengebied                                    ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,5         ,50 000 tot 100 000 inwoners                       ,2         ,Sterk stedelijk          ,64932,1590
346,Zevenaar,GM0299    ,Zevenaar                                          ,Zevenaar                                          ,AM07      ,Midden-Gelderland                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG1911    ,Veiligheids- en Gezondheidsregio Gelderland-Midden,JZ28      ,Arnhem                                            ,KK43      ,Oost                                              ,LB2503    ,Zuidelijk Gelderland                              ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0309    ,Midden-Gelderland                                 ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT05      ,Gelderland,VR07      ,Gelderland-Midden                                 ,ZK04      ,Arnhem                                            ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,43740,1043
347,Zoetermeer,GM0637    ,Zoetermeer                                        ,Zoetermeer                                        ,AM34      ,Zuid-Holland Centraal                             ,AR07      ,Den Haag                                          ,CR26      ,Agglomeratie 's-Gravenhage                        ,CS260     ,Agglomeratie 's-Gravenhage                        ,CP2602    ,Zoetermeer                                        ,GG7014    ,GGD Haaglanden                                    ,JZ24      ,Haaglanden                                        ,KK45      ,Zuidwest                                          ,LB2804    ,Westelijk Rijnland                                ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC28      ,Haaglanden/Westland                               ,RA1020    ,Haaglanden en Nieuwe Waterweg Noord               ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT09      ,Haaglanden,VR15      ,Haaglanden                                        ,ZK10      ,Haaglanden                                        ,6         ,100 000 tot 150 000 inwoners                      ,1         ,Zeer sterk stedelijk     ,125283,2523
348,Zoeterwoude,GM0638    ,Zoeterwoude                                       ,Zoeterwoude                                       ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR25      ,Agglomeratie Leiden en Bollenstreek               ,CS250     ,Agglomeratie Leiden en Bollenstreek               ,CP2500    ,Agglomeratie Leiden en Bollenstreek               ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2804    ,Westelijk Rijnland                                ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC26      ,Zuid-Holland-Noord                                ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,2         ,5 000 tot 10 000 inwoners                         ,4         ,Weinig stedelijk         ,8611,755
349,Zuidplas,GM1892    ,Zuidplas                                          ,Zuidplas                                          ,AM22      ,Rijnmond                                          ,AR07      ,Den Haag                                          ,CR29      ,Groot-Rijnmond                                    ,CS292     ,Overig Groot-Rijnmond                             ,CP2920    ,Overig Groot-Rijnmond                             ,GG4506    ,GGD Hollands-Midden                               ,JZ27      ,Midden Holland                                    ,KK45      ,Zuidwest                                          ,LB2809    ,Westland en Zuidhollandse Droogmakerijen          ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES22      ,Midden-Holland                                    ,MC27      ,Zuid-Holland-Oost                                 ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK13      ,Midden-Holland                                    ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,43894,1170
350,Zundert,GM0879    ,Zundert                                           ,Zundert                                           ,AM25      ,West-Brabant                                      ,AR11      ,Zeeland-West-Brabant                              ,CR33      ,West-Noord-Brabant                                ,CS330     ,West-Noord-Brabant                                ,CP3300    ,West-Noord-Brabant                                ,GG5206    ,GGD West-Brabant                                  ,JZ36      ,West Brabant West                                 ,KK44      ,Zuid                                              ,LB3006    ,Land van Breda                                    ,LG12      ,Zuidwest-Brabant                                  ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES28      ,West-Brabant                                      ,MC34      ,West-Brabant                                      ,RA1323    ,West-Brabant                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT21      ,West-braba,VR20      ,Midden- en West-Brabant                           ,ZK25      ,West-Brabant                                      ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,21821,542
351,Zutphen,GM0301    ,Zutphen                                           ,Zutphen                                           ,AM06      ,Stedendriehoek en Noordwest Veluwe                ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ17      ,Midden IJssel / Oost Veluwe                       ,KK43      ,Oost                                              ,LB2508    ,Achterhoek                                        ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES12      ,Stedendriehoek/Cleantech                          ,MC11      ,Stedendriehoek                                    ,RA0206    ,Stedendriehoek & Noord-Veluwe                     ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK03      ,Apeldoorn/Zutphen                                 ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,47942,1643
